Code|Artist|Total Views|100M|Avg
1|BTS|27947.9|63|7.37
2|Bad Bunny|27573.4|66|14.555
3|Justin Bieber|27399.7|37|3.986
4|Ed Sheeran|26894|39|4.609
5|Taylor Swift|24350|38|5.716
6|Shakira|23961.8|43|7.843
7|Katy Perry|23553.4|25|3.181
8|Ozuna|22524.8|49|4.933
9|Eminem|20937.7|38|5.841
10|Ariana Grande|20618.5|37|3.37
11|Daddy Yankee|20485.2|41|4.543
12|J Balvin|20436.9|34|3.188
13|Blackpink|20082|32|8.63
14|Maroon 5|19430.1|30|3.264
15|Rihanna|18683.8|33|3.907
16|Maluma|18479.8|30|3.112
17|The Weeknd|17668.9|30|8.517
18|Bruno Mars|16897.5|20|4.19
19|Mar°lia Mendonáa|16515.8|53|6.397
20|Enrique Iglesias|16395.2|29|2.655
21|David Guetta|15484.6|29|3.744
22|Nicky Jam|14982.5|29|1.668
23|Coldplay|14849|21|4.052
24|BeyoncÇ|14681.4|37|2.947
25|Calvin Harris|14270.5|22|2.09
26|Luis Fonsi|14242.4|12|1.574
27|Romeo Santos|14113.2|26|4.772
28|Marshmello|14020.7|29|2.723
29|Karol G|13981.8|26|6.59
30|Imagine Dragons|13444.2|18|4.884
31|Henrique e Juliano|13210.1|37|4.97
32|Chris Brown|13165|37|3.842
33|Lady Gaga|13156|28|4.272
34|Gusttavo Lima|12899.1|35|4.186
35|The Chainsmokers|12561.5|19|1.602
36|Guru Randhawa|12413.4|33|21.626
37|Alan Walker|12329.8|18|2.467
38|Adele|12329.6|17|2.6
39|Wiz Khalifa|12175.3|13|1.896
40|Anuel AA|12111.8|23|7.475
41|Pitbull|11989.9|21|2.083
42|One Direction|11904.4|18|1.776
43|Banda MS|11847.7|26|2.664
44|TWICE|11667|24|3.681
45|Michael Jackson|11662.2|23|3.422
46|Sia|11545.7|17|2.525
47|Post Malone|11345.7|18|3.207
48|Neha Kakkar|11283.5|20|2.445
49|GummibÑr|11225.7|13|2.722
50|Selena Gomez|11062.8|29|3.544
51|Linkin Park|11044.5|25|2.681
52|Shawn Mendes|10923.6|16|2.006
53|Arijit Singh|10850.3|23|3.162
54|YoungBoy Never Broke Again|10593.7|26|4.873
55|Drake|10361.2|18|3.218
56|Billie Eilish|10290.2|22|3.039
57|twenty one pilots|10147.7|14|2.028
58|ZÇ Neto e Cristiano|10133.5|26|1.723
59|Los ?ngeles Azules|10070.7|26|4.093
60|PSY|9970.6|10|2.215
61|Yo Yo Honey Singh|9522.4|32|3.364
62|Jennifer Lopez|9282.3|24|1.627
63|Becky G|9280.8|11|1.743
64|Dua Lipa|9258.1|16|2.838
65|The Black Eyed Peas|9223.4|19|2.495
66|Avicii|9135.6|17|1.549
67|Queen|9081|16|1.88
68|Sebasti†n Yatra|9012.3|19|2.762
69|Nicki Minaj|9000.9|26|2.023
70|Rauw Alejandro|8927.2|20|5.189
71|Major Lazer|8826.7|12|1.188
72|XXXTENTACION|8823.3|18|1.615
73|DJ Snake|8530.6|13|1.891
74|Charlie Puth|8393.3|10|1.949
75|Jorge & Mateus|8380.3|22|2.691
76|Sam Smith|8294.6|13|2.194
77|Future|8146.9|13|2.297
78|Farruko|8116.8|20|2.192
79|Jason Derulo|8105.5|22|1.046
80|BIGBANG|8046.3|21|1.04
81|50 Cent|8010.8|15|2.607
82|Skrillex|7946|16|0.889
83|Martin Garrix|7827.2|14|1.202
84|Badshah|7822.3|16|2.775
85|Miley Cyrus|7750.1|19|1.603
86|Wesley Safad?o|7529.7|15|3.06
87|MattyB|7424.6|21|1.34
88|Reik|7315.1|20|2.485
89|Fifth Harmony|7313.4|8|1.008
90|Anitta|7278|22|1.717
91|Natti Natasha|7199.6|13|1.78
92|6ix9ine|7164.4|14|0.962
93|HA-ASH|7159.5|16|1.824
94|Meghan Trainor|7135.3|7|1.992
95|CantaJuego|7133.6|12|2.268
96|Paulo Londra|7086.4|15|2.373
97|Britney Spears|7029.7|25|1.468
98|Guns N' Roses|7020.6|8|1.785
99|Arcangel|7017.4|14|4.778
100|Crazy Frog|6960.4|12|3.981
101|Clean Bandit|6930.8|8|0.97
102|P!nk|6849|18|1.524
103|Chino & Nacho|6823.4|13|0.958
104|Little Mix|6732.3|17|0.997
105|Migos|6721.1|11|1.387
106|Matheus & Kauan|6714.9|16|1.97
107|Don Omar|6702.8|15|2.373
108|Christian Nodal|6622.5|17|3.274
109|CNCO|6618.3|14|0.657
110|Cardi B|6573.8|12|0.961
111|Mariah Carey|6559.4|16|1.818
112|AC/DC|6536.9|13|1.747
113|OneRepublic|6517.6|10|1.659
114|Demi Lovato|6432.4|13|0.615
115|Kevin Gates|6404.7|11|1.551
116|Ricky Martin|6390.7|10|0.9
117|Piso 21|6375.3|10|1.838
118|Maåtre Gims|6325.5|17|1.397
119|Juice WRLD|6317.2|13|2.535
120|Idina Menzel|6308.3|7|2.603
121|Boyce Avenue|6300.3|10|0.958
122|Prince Royce|6246.8|14|1.778
123|Ellie Goulding|6235.1|10|0.673
124|EXO|6215.5|16|0.964
125|DJ Khaled|6195.1|11|1.044
126|Justin Timberlake|6105.6|12|1.135
127|Thalia|6024|12|1.074
128|Travis Scott|6007.9|14|1.371
129|Sidhu Moose Wala|5992.2|18|5.752
130|Lil Baby|5916|18|3.232
131|Jass Manak|5887.3|15|1.511
132|Inna|5866.9|15|1.417
133|Cartel de Santa|5816.6|18|2.076
134|Patati Patat†|5791.6|13|2.335
135|Maiara & Maraisa|5785.9|12|1.957
136|Red Hot Chili Peppers|5764.1|12|1.587
137|Calibre 50|5736.5|15|2.263
138|Haschak Sisters|5670.8|16|0.503
139|Bon Jovi|5623.1|9|1.463
140|Myke Towers|5616.2|11|2.45
141|Mark Ronson|5591.5|3|1.216
142|Pentatonix|5583.6|13|0.552
143|Wisin|5578.5|12|0.955
144|Camila Cabello|5571.8|12|0.857
145|Nio Garc°a|5471.4|8|0.915
146|Avril Lavigne|5456|16|1.039
147|Metallica|5430.2|7|1.588
148|Juan Gabriel|5426.8|11|1.509
149|Lana Del Rey|5409.7|12|1.716
150|Hariharan|5345.6|8|4.076
151|Yasmin Verissimo|5341.8|15|2.464
152|Manuel Turizo|5332.8|10|2.929
153|Ricardo Arjona|5268.8|8|1.774
154|Kodak Black|5246.1|13|1.726
155|Lil Nas X|5200.8|10|1.315
